Time_h,Tech_rep,Bio_rep,Donor_OD,Recipient_OD,Transconjugant_OD
0,1,1,0.007447194,0.013952728,0.008923345
0.324324324,1,1,0.017583915,0.016985931,0.016242664
0.648648649,1,1,0.028051997,0.018730819,0.024212567
0.972972973,1,1,0.040795725,0.027890314,0.033227152
1.297297297,1,1,0.062186752,0.040585629,0.049987162
1.621621622,1,1,0.092837374,0.069393847,0.073355201
1.945945946,1,1,0.119589414,0.092191264,0.09293767
2.27027027,1,1,0.147549821,0.110492574,0.109968835
2.594594595,1,1,0.162810004,0.128491416,0.11835451
2.918918919,1,1,0.166561767,0.132982225,0.121656201
3.243243243,1,1,0.170217382,0.140711695,0.128284756
3.567567568,1,1,0.17651197,0.145832537,0.130910293
3.891891892,1,1,0.181579209,0.146936774,0.135663021
4.216216216,1,1,0.188567804,0.150380866,0.136682295
4.540540541,1,1,0.194001528,0.148581268,0.138212563
4.864864865,1,1,0.198415506,0.151858589,0.140191793
5.189189189,1,1,0.207224994,0.153909895,0.142977371
5.513513514,1,1,0.213816078,0.155533668,0.146713282
5.837837838,1,1,0.220756161,0.159988047,0.147382902
6.162162162,1,1,0.225822439,0.15860453,0.147398881
6.486486486,1,1,0.2295999,0.164056534,0.150826685
6.810810811,1,1,0.236314649,0.165130175,0.152794485
7.135135135,1,1,0.243294839,0.167728316,0.160267418
7.459459459,1,1,0.252184034,0.169073693,0.160335286
7.783783784,1,1,0.254401658,0.166687898,0.162274689
8.108108108,1,1,0.255838813,0.170104172,0.166216935
8.432432432,1,1,0.262454614,0.170619061,0.169727024
8.756756757,1,1,0.267700278,0.172578407,0.176448036
9.081081081,1,1,0.27233821,0.175548328,0.17795008
9.405405405,1,1,0.27893145,0.174250684,0.179940022
9.72972973,1,1,0.284100891,0.177860668,0.184025738
10.05405405,1,1,0.292861126,0.179183057,0.186870908
10.37837838,1,1,0.302027317,0.181594752,0.192641108
10.7027027,1,1,0.310817002,0.185171515,0.194275018
11.02702703,1,1,0.316519164,0.184896416,0.196709298
11.35135135,1,1,0.321045361,0.188543412,0.200691729
11.67567568,1,1,0.328931642,0.190625138,0.203905005
12,1,1,0.338121141,0.194309172,0.211094975
12.32432432,1,1,0.34372759,0.198588204,0.213368727
12.64864865,1,1,0.350501831,0.197124533,0.215667749
12.97297297,1,1,0.35254319,0.202005782,0.220557147
13.2972973,1,1,0.360942239,0.204874726,0.22426956
13.62162162,1,1,0.367451123,0.209373653,0.230803578
13.94594595,1,1,0.374242145,0.212893078,0.233122372
14.27027027,1,1,0.375922881,0.213870075,0.235209317
14.59459459,1,1,0.378881623,0.218015347,0.240000798
14.91891892,1,1,0.385997023,0.222312925,0.24407407
15.24324324,1,1,0.391324945,0.226250247,0.251031252
15.56756757,1,1,0.3997407,0.230730182,0.253753755
15.89189189,1,1,0.401822915,0.231038882,0.255883566
16.21621622,1,1,0.403863752,0.2358267,0.260570945
16.54054054,1,1,0.409305149,0.240640763,0.264645321
16.86486486,1,1,0.415494063,0.24435013,0.268702331
17.18918919,1,1,0.419620341,0.248650074,0.271632469
17.51351351,1,1,0.424514601,0.247092998,0.274576636
17.83783784,1,1,0.42611105,0.252158668,0.278143908
18.16216216,1,1,0.432079771,0.254347373,0.280148472
18.48648649,1,1,0.436733109,0.256501962,0.28707798
18.81081081,1,1,0.440597392,0.262319378,0.287677133
19.13513514,1,1,0.446311845,0.265095525,0.289151937
19.45945946,1,1,0.44653168,0.267579783,0.29440216
19.78378378,1,1,0.452153807,0.2680302,0.295742041
20.10810811,1,1,0.456496224,0.272667149,0.303003781
20.43243243,1,1,0.459018609,0.278598383,0.303846455
20.75675676,1,1,0.465412278,0.279589816,0.304256918
21.08108108,1,1,0.465922149,0.283121957,0.309006305
21.40540541,1,1,0.471891101,0.288855503,0.31070867
21.72972973,1,1,0.477072983,0.292378182,0.317754142
22.05405405,1,1,0.481486379,0.295587526,0.319385992
22.37837838,1,1,0.483980199,0.291735449,0.31946634
22.7027027,1,1,0.485020789,0.293922,0.322913028
23.02702703,1,1,0.491220185,0.297602245,0.326365454
23.35135135,1,1,0.495371469,0.300810093,0.332443092
23.67567568,1,1,0.501070366,0.305590009,0.333464892
24,1,1,0.502762323,0.308023512,0.333936595
0,2,1,0.017156326,0.021322092,0.00646965
0.324324324,2,1,0.019331499,0.030907305,0.012924067
0.648648649,2,1,0.031984749,0.022453758,0.020516368
0.972972973,2,1,0.045162682,0.033036851,0.031646666
1.297297297,2,1,0.072019213,0.055143329,0.048985038
1.621621622,2,1,0.106610309,0.07686288,0.069009114
1.945945946,2,1,0.131869091,0.099662719,0.091952976
2.27027027,2,1,0.158276485,0.115756464,0.106754389
2.594594595,2,1,0.167219907,0.130285006,0.118811391
2.918918919,2,1,0.174160151,0.138611303,0.125361006
3.243243243,2,1,0.179872613,0.143536948,0.127536729
3.567567568,2,1,0.182315053,0.147418671,0.134082957
3.891891892,2,1,0.18953133,0.15010569,0.137902735
4.216216216,2,1,0.195713641,0.152725905,0.140284667
4.540540541,2,1,0.203013218,0.157358572,0.143793002
4.864864865,2,1,0.212864818,0.156652373,0.142480433
5.189189189,2,1,0.218672305,0.156803545,0.144731352
5.513513514,2,1,0.229591425,0.159928407,0.146758155
5.837837838,2,1,0.239933336,0.16261131,0.149462662
6.162162162,2,1,0.246670001,0.170322656,0.151915117
6.486486486,2,1,0.256559428,0.170117583,0.150865548
6.810810811,2,1,0.263483396,0.171160815,0.15575047
7.135135135,2,1,0.274046766,0.174722689,0.159473936
7.459459459,2,1,0.283642494,0.175718421,0.163815864
7.783783784,2,1,0.294584226,0.17925792,0.167322582
8.108108108,2,1,0.306292714,0.177782745,0.166795359
8.432432432,2,1,0.317072246,0.176784489,0.172943855
8.756756757,2,1,0.329418613,0.180009179,0.177747581
9.081081081,2,1,0.33853829,0.181644796,0.18291126
9.405405405,2,1,0.34927023,0.186186333,0.185686837
9.72972973,2,1,0.357470827,0.185131128,0.186864264
10.05405405,2,1,0.361404857,0.184650028,0.191556305
10.37837838,2,1,0.370893866,0.187479674,0.195050381
10.7027027,2,1,0.378365682,0.188831242,0.201264908
11.02702703,2,1,0.385146862,0.193546091,0.204189334
11.35135135,2,1,0.393975673,0.193304348,0.204808108
11.67567568,2,1,0.396449283,0.192361903,0.208337795
12,2,1,0.405943008,0.195855118,0.212563465
12.32432432,2,1,0.411230248,0.197610882,0.215997097
12.64864865,2,1,0.419000396,0.202915357,0.220242331
12.97297297,2,1,0.42498543,0.202888632,0.221220546
13.2972973,2,1,0.431107028,0.204043843,0.225751498
13.62162162,2,1,0.438350301,0.207243055,0.230024092
13.94594595,2,1,0.443746819,0.208684798,0.234833509
14.27027027,2,1,0.448513843,0.213871146,0.236681879
14.59459459,2,1,0.457014331,0.215805171,0.237912591
14.91891892,2,1,0.461813296,0.218705745,0.243169089
15.24324324,2,1,0.467671648,0.224020525,0.246664594
15.56756757,2,1,0.476456982,0.22942499,0.250543703
15.89189189,2,1,0.482152881,0.234003208,0.25498097
16.21621622,2,1,0.489120696,0.238402615,0.254715147
16.54054054,2,1,0.493199329,0.241579685,0.259737567
16.86486486,2,1,0.498288072,0.246889494,0.263470182
17.18918919,2,1,0.504603,0.251430416,0.26713227
17.51351351,2,1,0.511449337,0.258064995,0.270132512
17.83783784,2,1,0.518295455,0.261535117,0.270381236
18.16216216,2,1,0.523521275,0.262884849,0.274632547
18.48648649,2,1,0.527162368,0.269559455,0.278389771
18.81081081,2,1,0.532051831,0.274141297,0.280890171
19.13513514,2,1,0.53878765,0.279532694,0.283870338
19.45945946,2,1,0.546345366,0.283506521,0.285311778
19.78378378,2,1,0.548251832,0.283942909,0.288158387
20.10810811,2,1,0.552364539,0.29172267,0.291404327
20.43243243,2,1,0.557737837,0.295908321,0.295047356
20.75675676,2,1,0.56235476,0.300399728,0.297891321
21.08108108,2,1,0.570331919,0.304084281,0.298993581
21.40540541,2,1,0.575027095,0.304567057,0.301366908
21.72972973,2,1,0.576628319,0.311611531,0.304147584
22.05405405,2,1,0.582840355,0.315019321,0.307462186
22.37837838,2,1,0.585780863,0.320346513,0.309423816
22.7027027,2,1,0.590000858,0.322529431,0.310177335
23.02702703,2,1,0.598323473,0.324718447,0.313350274
23.35135135,2,1,0.59890058,0.330027724,0.316185696
23.67567568,2,1,0.603939995,0.334041108,0.318798565
24,2,1,0.60762208,0.340596128,0.32060947
0,3,1,0.027370644,0.018389055,0.023552101
0.324324324,3,1,0.035397997,0.025061073,0.038314845
0.648648649,3,1,0.031197029,0.028602271,0.027409846
0.972972973,3,1,0.053379514,0.042502095,0.040947833
1.297297297,3,1,0.079228751,0.066361359,0.062921293
1.621621622,3,1,0.105066836,0.093043786,0.091198468
1.945945946,3,1,0.129965502,0.114836637,0.108212932
2.27027027,3,1,0.148384702,0.124805392,0.121383756
2.594594595,3,1,0.151479985,0.138416354,0.132497407
2.918918919,3,1,0.156509303,0.143353734,0.139152302
3.243243243,3,1,0.159311351,0.147704944,0.14464469
3.567567568,3,1,0.164495464,0.15174022,0.145911158
3.891891892,3,1,0.169209746,0.150689221,0.146414979
4.216216216,3,1,0.178054941,0.155394592,0.151347713
