Time _h,Biological_replicate,Plate_replicate,Num_colonies_LB_CTX,Num_colonies_LB_CAM,Num_colonies_LB_CTX_CAM,CFU_ml_dilution_factor_LB_CTX,CFU_ml_dilution_factor_LB_CAM,CFU_ml_dilution_factor_LB_CTX_CAM,CFU_ml_LB_CTX,CFU_ml_Donor_minus_CFU_ml_Transconjugant,CFU_ml_LB_CAM,CFU_ml_Recipient_minus_CFU_ml_Transconjugant,CFU_ml_LB_CTX_CAM_Transconjugant,Monoculture_Donor_num_colonies,CFU_ml_Donor_monoculture,Monoculture_Recipient_num_colonies,CFU_ml_Recipient_monoculture
0,1,1,38,14,1,5.00E+05,5.00E+05,1.00E+01,1.90E+07,1.90E+07,7.00E+06,7.00E+06,1.00E+01,N/A,N/A,N/A,N/A
0,1,2,42,12,0,5.00E+05,5.00E+05,1.00E+01,2.10E+07,2.10E+07,6.00E+06,6.00E+06,0.00E+00,N/A,N/A,N/A,N/A
0,1,3,44,58,0,5.00E+05,5.00E+05,1.00E+01,2.20E+07,2.20E+07,2.90E+07,2.90E+07,0.00E+00,N/A,N/A,N/A,N/A
0.75,1,1,59,70,34,5.00E+05,5.00E+05,1.00E+01,2.95E+07,2.95E+07,3.50E+07,3.50E+07,3.40E+02,N/A,N/A,N/A,N/A
0.75,1,2,72,70,30,5.00E+05,5.00E+05,1.00E+01,3.60E+07,3.60E+07,3.50E+07,3.50E+07,3.00E+02,N/A,N/A,N/A,N/A
0.75,1,3,66,61,28,5.00E+05,5.00E+05,1.00E+01,3.30E+07,3.30E+07,3.05E+07,3.05E+07,2.80E+02,N/A,N/A,N/A,N/A
1.5,1,1,89,21,24,5.00E+05,5.00E+05,1.00E+01,4.45E+07,4.45E+07,1.05E+07,1.05E+07,2.40E+02,N/A,N/A,N/A,N/A
1.5,1,2,103,36,63,5.00E+05,5.00E+05,1.00E+01,5.15E+07,5.15E+07,1.80E+07,1.80E+07,6.30E+02,N/A,N/A,N/A,N/A
1.5,1,3,97,64,44,5.00E+05,5.00E+05,1.00E+01,4.85E+07,4.85E+07,3.20E+07,3.20E+07,4.40E+02,N/A,N/A,N/A,N/A
5,1,1,25,20,66,1.00E+07,1.00E+07,1.00E+02,2.50E+08,2.50E+08,2.00E+08,2.00E+08,6.60E+03,N/A,N/A,N/A,N/A
5,1,2,25,20,238,1.00E+07,1.00E+07,1.00E+02,2.50E+08,2.50E+08,2.00E+08,2.00E+08,2.38E+04,N/A,N/A,N/A,N/A
5,1,3,25,14,N/A,1.00E+07,1.00E+07,1.00E+02,2.50E+08,2.50E+08,1.40E+08,1.40E+08,N/A,N/A,N/A,N/A,N/A
19,1,1,33,71,N/A,1.00E+07,1.00E+07,1.00E+02,3.30E+08,N/A,7.10E+08,N/A,N/A,N/A,N/A,N/A,N/A
19,1,2,34,46,N/A,1.00E+07,1.00E+07,1.00E+02,3.40E+08,N/A,4.60E+08,N/A,N/A,N/A,N/A,N/A,N/A
19,1,3,32,62,N/A,1.00E+07,1.00E+07,1.00E+02,3.20E+08,N/A,6.20E+08,N/A,N/A,N/A,N/A,N/A,N/A
25,1,1,34,46,1108,1.00E+07,1.00E+07,1.00E+03,3.40E+08,3.39E+08,4.60E+08,4.59E+08,1.11E+06,N/A,N/A,N/A,N/A
